J & J Fish & Chicken,26 W Adams St,Chicago,IL,60603,"Seafood, American",j&jfish&chicken
Jubilee Juice & Grill,140 N Halsted St,Chicago,IL,60661,"Burgers, Sandwiches, Salads",jubileejuice&grill
Punky's Pizza & Pasta,2600 S Wallace St,Chicago,IL,60616,"Italian, Burgers, Pizza",punky'spizza&pasta
Pegasus,130 S Halsted St,Chicago,IL,60661,Greek,pegasus
Giordano's,1040 W Belmont Ave,Chicago,IL,60657,"Pizza, American",giordano's
Naty's Pizza,3849 W 26th St,Chicago,IL,60623,"Deli Food, American",naty'spizza
Luke's On Harlem,3130 N Harlem Ave,Chicago,IL,60634,"Burgers, Pizza, Sandwiches",luke'sonharlem
John's Pizzeria,2104 N Western Ave,Chicago,IL,60647,"Pizza, Sandwiches, Wings",john'spizzeria
Angela's Burrito Style,2556 N Clark St,Chicago,IL,60614,"Mexican, Breakfast",angela'sburritostyle
Pizza Hut,2337 W Cermak Rd,Chicago,IL,60608,Pizza,pizzahut
Fin Sushi Bar,1742 W. Wilson Ave.,Chicago,IL,60640,"Japanese, Sushi, Asian",finsushibar
Leona's,1236 E 53rd St,Chicago,IL,60615,"Italian, Burgers, Pizza",leona's
Tiparos,1540 N Clark St,Chicago,IL,60610,"Noodles, Thai, Asian",tiparos
Bub's Gyros,5800 W Irving Park Rd,Chicago,IL,60634,"Burgers, Sandwiches, American",bub'sgyros
Tedino's Pizzeria & Restaurant,5335 N Sheridan Rd,Chicago,IL,60640,"Italian, Burgers, Pizza",tedino'spizzeria&restaurant
Sharks Fish & Chicken,420 S Clark St,Chicago,IL,60605,"Seafood, Wings, Chicken",sharksfish&chicken
The Original Old World Pizza,7230 W North Ave,Elmwood Park,IL,60707,"Pizza, American",theoriginaloldworldpizza
Mug's Pizza & Ribs,7228 N Harlem Ave,Chicago,IL,60631,"Pizza, American",mug'spizza&ribs
Gracie's Lucky Burrito,5430 W 127th St,Alsip,IL,60803,Mexican,gracie'sluckyburrito
Barnelli's Pasta Bowl,100 W Ontario St,Chicago,IL,60654,"Diner, American",barnelli'spastabowl
More Cupcakes,1 E Delaware Pl,Chicago,IL,60611,"Bakery & Pastries, American",morecupcakes
Sizzlin Skillets,8635 S Cottage Grove Ave,Chicago,IL,60619,"Sandwiches, Wraps, American",sizzlinskillets
Sun Eng's Chinese Restaurant,4734 N Harlem Ave,Harwood Heights,IL,60706,"Chinese, Seafood, Soups",suneng'schineserestaurant
La Villa Restaurant,3638 N Pulaski Rd,Chicago,IL,60641,"Italian, Pizza, Sandwiches",lavillarestaurant
Mirai Sushi,2020 W Division St,Chicago,IL,60622,"Japanese, Sushi, Seafood",miraisushi
Nuevo Leon Restaurant Y Taqueria,3657 W 26th St,Chicago,IL,60623,Mexican,nuevoleonrestaurantytaqueria
Primo Pizza,5600 N Clark St,Chicago,IL,60660,"Italian, Pizza, Sandwiches",primopizza
Chop Suey Huang,5202 N Lincoln Ave,Chicago,IL,60625,Chinese,chopsueyhuang
Dylans Tavern & Grill,118 S Clinton St,Chicago,IL,60661,"Burgers, Pub Food, Sandwiches",dylanstavern&grill
Tatsu,1062 W Taylor St,Chicago,IL,60607,"Sushi, Asian",tatsu
Frank's Pizzeria,6506 W Belmont Ave,Chicago,IL,60634,"Pizza, Chicken, Pasta",frank'spizzeria
New Jeanny's Chinese Restaurant,1053 W Belmont Ave,Chicago,IL,60657,"Chinese, Noodles, Asian",newjeanny'schineserestaurant
Pizzaco's Italian Eatery,3605 N Ashland Ave,Chicago,IL,60613,"Italian, Pizza, Sandwiches",pizzaco'sitalianeatery
Ethiopian Diamond Restaurant & Lounge,6120 N Broadway St,Chicago,IL,60660,"Vegetarian, African, Healthy",ethiopiandiamondrestaurant&lounge
Eastern Style Pizza,2911 W Touhy Ave,Chicago,IL,60645,"Diner, American",easternstylepizza
Dos Diablos,15 W Hubbard,Chicago,IL,60654,"Mexican, Soups, Salads",dosdiablos
Yassa African Restaurant,716 E 79th St,Chicago,IL,60619,African,yassaafricanrestaurant
Hala In,4624 W Lawrence Ave,Chicago,IL,60630,"Mediterranean, Middle Eastern, Sandwiches",halain
Joy Yee's Noodles,2139 S China Pl,Chicago,IL,60616,"Chinese, Noodles, Asian",joyyee'snoodles
Pie Hole,3477 N Broadway St,Chicago,IL,60657,"Pizza, American",piehole
Ricobene's,5160 S Pulaski Rd,Chicago,IL,60632,"Deli Food, American",ricobene's
Bobak Sausage Company,5275 S Archer Ave,Chicago,IL,60632,Polish,bobaksausagecompany
Buffalo Wings and Rings,3434 S. Halsted,Chicago,IL,60608,"Burgers, Sandwiches, Wings",buffalowingsandrings
Pequod's Pizza,2207 N Clybourn Ave,Chicago,IL,60614,"Pizza, American",pequod'spizza
Guy's Pizzeria,4107 W North Ave,Chicago,IL,60639,"Burgers, Pizza, Sandwiches",guy'spizzeria
Wing Wah Chinese Restaurant,3222 N Harlem Ave,Chicago,IL,60634,Chinese,wingwahchineserestaurant
Primos Chicago Pizza,816 W Van Buren St,Chicago,IL,60607,"Italian, Pizza, Sandwiches",primoschicagopizza
Just Turkey,4353 S Cottage Grove,Chicago,IL,60653,"Barbecue, Burgers, American",justturkey
Chubby's Pizza II,2544 S Western Ave,Chicago,IL,60608,"Diner, American",chubby'spizzaii
Shawarma Inn,5523 N. Lincoln Ave.,Chicago,IL,60625,Mediterranean,shawarmainn
Cocina Tarascas,2585 N Clark St,Chicago,IL,60614,"Mexican, Caribbean",cocinatarascas
Vinnies Sub Shop,1204 W Grand Ave,Chicago,IL,60642,"Deli Food, Sandwiches, American",vinniessubshop
Dragonlady Lounge,3188 N. Elston Ave.,Chicago,IL,60618,"Burgers, Wings, Vegan",dragonladylounge
Oberweis Dairy,3152 W 95th St,Evergreen Park,IL,60805,"Ice Cream, American",oberweisdairy
Leona's,9156 S Stony Island Ave,Chicago,IL,60617,"Italian, Burgers, Pizza",leona's
Mama Mia Chicago Pizza,3131 N. Central Ave,Chicago,IL,60634,"Pizza, Sandwiches, Pasta",mamamiachicagopizza
Honey's to Go Soulfood,5410 S Wentworth Ave,Chicago,IL,60609,"",honey'stogosoulfood
New York Deli,2921 N Clark St,Chicago,IL,60657,"Deli Food, American",newyorkdeli
Damenzo's Pizza & Restaurant,2324 W Taylor St,Chicago,IL,60612,"Pizza, Pasta",damenzo'spizza&restaurant
Palermo's Pizza & Restaurant,3751 W 63rd St,Chicago,IL,60629,"Italian, Pizza",palermo'spizza&restaurant
Dragon Boat Chinese Restaurant,5754 W Belmont Ave,Chicago,IL,60634,"Chinese, Japanese, Sushi",dragonboatchineserestaurant
Angelo's Pizza Restaurant,3026 W Montrose Ave,Chicago,IL,60618,"Italian, Mexican, Diner",angelo'spizzarestaurant
Eat a Pita,3155 N Halsted St,Chicago,IL,60657,"Pitas, American",eatapita
Rex Italian Foods,4431 N Harlem Ave,Norridge,IL,60706,"Italian, Pizza, Sandwiches",rexitalianfoods
Simply Soup Salad and Sandwiches,635 E 47th St,Chicago,IL,60653,"Sandwiches, Wraps, Salads",simplysoupsaladandsandwiches
El Palmar Mexican Restaurant,1008 W Irving Park Rd,Chicago,IL,60613,"Mexican, Sandwiches, Breakfast",elpalmarmexicanrestaurant
Eat First #1,3337 W Belmont Ave,Chicago,IL,60618,"Chinese, Noodles, Seafood",eatfirst#1
"Red Snapper Fish, Chicken and Grill",400 East 83rd St,Chicago,IL,60619,"","redsnapperfish,chickenandgrill"
New Fue City,6954 W North Ave,Chicago,IL,60707,"Chinese, Asian",newfuecity
Tacos Mario's,4540 W 63rd St,Chicago,IL,60629,Mexican,tacosmario's
Grande Noodles & Sushi Bar,6632 N Clark St,Chicago,IL,60626,"Japanese, Sushi, Noodles",grandenoodles&sushibar
Excelsior Garden,4855 N Milwaukee Ave,Chicago,IL,60630,Chinese,excelsiorgarden
Mr. Gyros,109 W Division St,Chicago,IL,60610,Greek,mr.gyros
Papajin Chinese & Sushi Bar,1551 N Milwaukee Ave,Chicago,IL,60622,"Chinese, Japanese, Sushi",papajinchinese&sushibar
Happiness,3313 S Halsted St,Chicago,IL,60608,Chinese,happiness
The Nile Restaurant,3259 W 63rd St,Chicago,IL,60629,"Egyptian, Middle Eastern",thenilerestaurant
El Azteca,5011 W Fullerton Ave,Chicago,IL,60639,"Mexican, Breakfast",elazteca
Pizzeria Calzone,5858 N Lincoln Ave,Chicago,IL,60659,"Deli Food, American",pizzeriacalzone
